year,la,globe
1849,15.71,7.98
1850,15.28,7.90
1851,15.53,8.18
1852,15.61,8.10
1853,16.27,8.04
1854,15.74,8.21
1855,15.94,8.11
1856,15.52,8.00
1857,16.19,7.76
1858,15.67,8.10
1859,15.29,8.25
1860,15.41,7.96
1861,16.51,7.85
1862,16.05,7.56
1863,15.88,8.11
1864,16.62,7.98
1865,15.89,8.18
1866,16.33,8.29
1867,16.51,8.44
1868,16.09,8.25
1869,16.05,8.43
1870,15.64,8.20
1871,15.89,8.12
1872,15.66,8.19
1873,15.70,8.35
1874,15.33,8.43
1875,16.19,7.86
1876,15.70,8.08
1877,16.24,8.54
1878,15.44,8.83
1879,15.55,8.17
1880,14.36,8.12
1881,15.65,8.27
1882,14.85,8.13
1883,15.52,7.98
1884,15.28,7.77
1885,16.44,7.92
1886,15.74,7.95
1887,15.62,7.91
1888,15.91,8.09
1889,16.22,8.32
1890,15.80,7.97
1891,15.63,8.02
1892,15.33,8.07
1893,14.95,8.06
1894,14.83,8.16
1895,15.36,8.15
1896,16.10,8.21
1897,15.32,8.29
1898,15.65,8.18
1899,15.59,8.40
1900,16.08,8.50
1901,15.72,8.54
1902,15.08,8.30
1903,15.49,8.22
1904,16.24,8.09
1905,15.52,8.23
1906,15.74,8.38
1907,15.46,7.95
1908,15.17,8.19
1909,15.01,8.18
1910,15.94,8.22
1911,14.82,8.18
1912,14.84,8.17
1913,15.20,8.30
1914,15.65,8.59
1915,15.43,8.59
1916,14.60,8.23
1917,15.59,8.02
1918,15.65,8.13
1919,15.34,8.38
1920,15.06,8.36
1921,15.76,8.57
1922,15.31,8.41
1923,15.39,8.42
1924,15.69,8.51
1925,15.72,8.53
1926,16.60,8.73
1927,15.41,8.52
1928,15.98,8.63
1929,16.10,8.24
1930,15.99,8.63
1931,16.60,8.72
1932,15.40,8.71
1933,15.40,8.34
1934,17.03,8.63
1935,15.50,8.52
1936,16.60,8.55
1937,15.68,8.70
1938,15.89,8.86
1939,16.30,8.76
1940,16.53,8.76
1941,15.62,8.77
1942,15.77,8.73
1943,16.12,8.76
1944,15.03,8.85
1945,15.70,8.58
1946,15.65,8.68
1947,15.98,8.80
1948,15.09,8.75
1949,15.36,8.59
1950,16.20,8.37
1951,15.76,8.63
1952,15.33,8.64
1953,15.68,8.87
1954,16.05,8.56
1955,15.34,8.63
1956,15.70,8.28
1957,15.80,8.73
1958,16.70,8.77
1959,17.05,8.73
1960,16.31,8.58
1961,16.21,8.80
1962,15.62,8.75
1963,15.73,8.86
1964,15.28,8.41
1965,15.34,8.53
1966,15.99,8.60
1967,15.92,8.70
1968,15.89,8.52
1969,15.79,8.60
1970,16.00,8.70
1971,15.26,8.60
1972,15.96,8.50
1973,15.51,8.95
1974,15.85,8.47
1975,15.12,8.74
1976,16.18,8.35
1977,16.26,8.85
1978,16.01,8.69
1979,15.88,8.73
1980,16.23,8.98
1981,16.89,9.17
1982,15.44,8.64
1983,16.20,9.03
1984,16.76,8.69
1985,15.96,8.66
1986,16.50,8.83
1987,16.09,8.99
1988,16.44,9.20
1989,16.36,8.92
1990,16.37,9.23
1991,16.00,9.18
1992,16.79,8.84
1993,16.36,8.87
1994,16.29,9.04
1995,16.64,9.35
1996,17.08,9.04
1997,16.93,9.20
1998,15.37,9.52
1999,16.12,9.29
2000,16.64,9.20
2001,16.47,9.41
2002,16.43,9.57
2003,16.94,9.53
2004,16.55,9.32
2005,16.43,9.70
2006,16.62,9.53
2007,16.70,9.73
2008,17.01,9.43
2009,16.68,9.51
2010,15.89,9.70
2011,15.87,9.52
2012,17.09,9.51
2013,18.12,9.61
